%time,field.header.seq,field.header.stamp,field.header.frame_id,field.bump_bits
1595768231298072344,7183,1595768231112283096,base_link,0
1595768231301477811,7184,1595768231212283096,base_link,0
1595768231313167922,7185,1595768231314283096,base_link,0
1595768231414037765,7186,1595768231414283096,base_link,0
1595768231513907406,7187,1595768231515283096,base_link,0
1595768231612520033,7188,1595768231615283096,base_link,0
1595768231712551208,7189,1595768231715283096,base_link,0
1595768231817397981,7190,1595768231815283096,base_link,0
1595768231914818280,7191,1595768231916283096,base_link,0
1595768232020081587,7192,1595768232016283096,base_link,0
1595768232115967677,7193,1595768232118283096,base_link,0
1595768232222023452,7194,1595768232219283096,base_link,0
1595768232320603758,7195,1595768232321283096,base_link,0
1595768232424637632,7196,1595768232425283096,base_link,0
1595768232524861829,7197,1595768232527283096,base_link,0
1595768232627289619,7198,1595768232627283096,base_link,0
1595768232726899040,7199,1595768232727283096,base_link,0
1595768232828894760,7200,1595768232828283096,base_link,0
1595768232926753709,7201,1595768232928283096,base_link,0
1595768233024642447,7202,1595768233028283096,base_link,0
1595768233126307920,7203,1595768233128283096,base_link,0
1595768233226478768,7204,1595768233228283096,base_link,0
1595768233324851272,7205,1595768233328283096,base_link,0
1595768233424823092,7206,1595768233428283096,base_link,0
1595768233533805594,7207,1595768233527444932,base_link,0
1595768233630984791,7208,1595768233628444932,base_link,0
1595768233730205103,7209,1595768233729444932,base_link,0
1595768233830026202,7210,1595768233830444932,base_link,0
1595768233934440753,7211,1595768233930444932,base_link,0
1595768234032962412,7212,1595768234032444932,base_link,0
1595768234134478356,7213,1595768234133444932,base_link,0
1595768234237448705,7214,1595768234235444932,base_link,0
1595768234341962757,7215,1595768234337444932,base_link,0
1595768234439300869,7216,1595768234439444932,base_link,0
1595768234543322586,7217,1595768234540444932,base_link,0
1595768234643460682,7218,1595768234642444932,base_link,0
1595768234747514651,7219,1595768234745444932,base_link,0
1595768234846483088,7220,1595768234846444932,base_link,0
1595768234957318555,7221,1595768234948444932,base_link,0
1595768235049801449,7222,1595768235050444932,base_link,0
1595768235162080989,7223,1595768235152444932,base_link,0
1595768235253892480,7224,1595768235254444932,base_link,0
1595768235355598396,7225,1595768235355444932,base_link,0
1595768235454662481,7226,1595768235456444932,base_link,0
1595768235563158787,7227,1595768235558444932,base_link,0
1595768235663192340,7228,1595768235658444932,base_link,0
1595768235767026416,7229,1595768235759444932,base_link,0
1595768235863108684,7230,1595768235861444932,base_link,0
1595768235971391967,7231,1595768235968413919,base_link,0
1595768236064782701,7232,1595768236069413919,base_link,0
1595768236166762206,7233,1595768236169413919,base_link,0
1595768236266536389,7234,1595768236269413919,base_link,0
1595768236367195579,7235,1595768236369413919,base_link,0
1595768236466630113,7236,1595768236469413919,base_link,0
1595768236567468502,7237,1595768236569413919,base_link,0
1595768236668868870,7238,1595768236670413919,base_link,0
1595768236768293966,7239,1595768236770413919,base_link,0
1595768236867011419,7240,1595768236870413919,base_link,0
1595768236966800765,7241,1595768236971413919,base_link,0
1595768237070387414,7242,1595768237071413919,base_link,0
1595768237169153476,7243,1595768237172413919,base_link,0
1595768237268830154,7244,1595768237272413919,base_link,0
1595768237369973466,7245,1595768237374413919,base_link,0
1595768237474065579,7246,1595768237475413919,base_link,0
1595768237573057761,7247,1595768237576413919,base_link,0
1595768237676946093,7248,1595768237677413919,base_link,0
1595768237776171158,7249,1595768237779413919,base_link,0
1595768237876685433,7250,1595768237880413919,base_link,0
1595768237976760269,7251,1595768237980413919,base_link,0
1595768238078000053,7252,1595768238080413919,base_link,0
1595768238177737764,7253,1595768238180413919,base_link,0
