%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1596734936380325459,13248,1596734936377907089,base_link,956,1027,1335,5184,604,1292,1578,931,900,919
1596734936420793691,13249,1596734936418907089,base_link,956,996,1222,2757,605,1282,1589,931,889,950
1596734936459958235,13250,1596734936459907089,base_link,987,1068,955,-1,604,1291,1619,930,889,847
1596734936501030580,13251,1596734936500907089,base_link,998,1037,1109,-1,594,1302,1619,935,915,883
1596734936541574138,13252,1596734936540907089,base_link,977,977,1109,-1,605,1271,1610,921,900,909
1596734936580196693,13253,1596734936580907089,base_link,946,1037,1171,1964,605,1292,1579,931,900,878
1596734936620846457,13254,1596734936620907089,base_link,946,1027,1119,-1,604,1291,1578,920,899,888
1596734936661126043,13255,1596734936660907089,base_link,967,996,1171,1964,594,1302,1589,921,889,889
1596734936702147305,13256,1596734936701907089,base_link,956,1027,1140,-1,604,1291,1588,930,889,867
1596734936742337060,13257,1596734936742907089,base_link,956,1048,1068,1934,594,1282,1589,932,889,889
1596734936786477081,13258,1596734936783907089,base_link,977,1037,1098,-1,594,1302,1579,935,915,915
1596734936824539224,13259,1596734936824907089,base_link,987,966,1222,3539,605,1282,1589,880,905,914
1596734936869812859,13260,1596734936866907089,base_link,956,1058,1181,-1,604,1271,1588,920,899,888
1596734936911337598,13261,1596734936908907089,base_link,977,1027,1098,1974,594,1291,1579,935,904,924
1596734936950532794,13262,1596734936950907089,base_link,967,1007,1243,1890,604,1291,1578,910,889,909
1596734936998396785,13263,1596734936991907089,base_link,924,975,1118,-1,617,1304,1612,935,902,902
1596734937036946388,13264,1596734937035907089,base_link,946,1048,1109,1963,615,1292,1599,931,889,909
1596734937088331560,13265,1596734937078907089,base_link,987,965,1212,-1,593,1291,1577,919,888,867
1596734937123593616,13266,1596734937119907089,base_link,987,1017,1078,1060,594,1292,1599,869,889,885
1596734937162151709,13267,1596734937160907089,base_link,998,998,1253,1964,605,1436,1610,931,900,889
1596734937204161566,13268,1596734937202907089,base_link,984,1038,1109,-1,605,1302,1599,921,900,878
1596734937244881435,13269,1596734937243907089,base_link,987,1120,1541,-1,605,1282,1599,941,889,915
1596734937286935501,13270,1596734937284907089,base_link,1029,1161,1098,-1,605,1302,1589,945,913,902
1596734937328293281,13271,1596734937327907089,base_link,946,1017,1345,1954,594,1292,1588,935,904,914
1596734937370019877,13272,1596734937368907089,base_link,954,1170,1286,-1,606,1293,1601,932,901,880
1596734937413863205,13273,1596734937408907089,base_link,987,1017,1109,1974,605,1292,1589,921,889,894
1596734937456721867,13274,1596734937449907089,base_link,987,1058,1294,1911,614,1293,1609,930,889,867
1596734937492843751,13275,1596734937490907089,base_link,998,998,1304,1890,604,1282,1588,930,899,888
1596734937532607486,13276,1596734937531907089,base_link,1006,1036,1306,-1,606,1305,1611,922,901,921
1596734937575148520,13277,1596734937571907089,base_link,987,1017,1243,-1,604,1302,1588,935,904,893
1596734937612975854,13278,1596734937611907089,base_link,946,1037,1109,-1,605,1302,2165,921,889,878
1596734937652769555,13279,1596734937651907089,base_link,1049,1038,1201,3786,615,1333,1599,931,889,889
1596734937692741630,13280,1596734937691907089,base_link,915,976,1098,2785,614,1291,1198,920,889,889
1596734937735742092,13281,1596734937731907089,base_link,943,1018,1099,2807,625,1343,2073,911,879,868
1596734937778773250,13282,1596734937771907089,base_link,945,965,1479,2784,635,1312,2534,889,867,867
1596734937812437832,13283,1596734937811907089,base_link,922,976,1109,2827,646,1354,1610,911,858,858
1596734937852879770,13284,1596734937852907089,base_link,915,955,1171,2827,655,1322,1599,879,837,837
