%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1596734304117963813,5050,1596734304121928962,base_link,947,1007,1109,-1,614,1281,1660,930,900,900
1596734304163446348,5051,1596734304163928962,base_link,967,998,1016,-1,605,1271,1589,931,900,879
1596734304200708495,5052,1596734304205928962,base_link,957,1028,1160,4442,594,1282,1651,921,900,916
1596734304242791611,5053,1596734304246928962,base_link,967,1038,1098,3569,605,1261,1651,869,900,864
1596734304287016742,5054,1596734304288928962,base_link,956,976,1087,-1,614,1271,1650,946,904,883
1596734304328429482,5055,1596734304329928962,base_link,937,956,1026,-1,615,1292,1579,921,900,863
1596734304368472703,5056,1596734304370928962,base_link,947,997,1129,-1,605,1282,1661,921,890,890
1596734304413405172,5057,1596734304410928962,base_link,956,986,1067,3312,627,1251,1654,924,903,892
1596734304450289503,5058,1596734304451928962,base_link,967,1028,945,-1,614,1271,1640,920,900,889
1596734304489229172,5059,1596734304491928962,base_link,977,1018,996,-1,615,1271,1661,921,889,906
1596734304530682154,5060,1596734304532928962,base_link,967,1028,1119,-1,605,1282,1589,911,900,879
1596734304575380356,5061,1596734304573928962,base_link,957,987,1068,4114,615,1261,2268,941,900,879
1596734304613046933,5062,1596734304616928962,base_link,957,966,1047,-1,604,1260,1640,920,900,916
1596734304658349241,5063,1596734304657928962,base_link,978,1038,1171,-1,605,1261,1579,926,905,893
1596734304709017521,5064,1596734304698928962,base_link,957,1018,1160,-1,605,1271,1579,890,900,838
1596734304739371172,5065,1596734304741928962,base_link,967,1028,1119,3620,615,1271,1568,921,890,906
1596734304783511335,5066,1596734304782928962,base_link,967,1027,1087,-1,613,1260,1649,920,899,899
1596734304821334898,5067,1596734304823928962,base_link,947,1028,1057,-1,594,1261,1640,931,900,904
1596734304865751179,5068,1596734304865928962,base_link,988,988,1140,-1,594,1251,1579,900,890,895
1596734304908303085,5069,1596734304907928962,base_link,977,1007,1078,3547,605,1271,1568,931,900,909
1596734304949313434,5070,1596734304950928962,base_link,978,978,1191,1379,604,1291,1660,900,889,868
1596734304988972581,5071,1596734304992928962,base_link,978,987,1129,-1,594,1261,1579,931,900,895
1596734305037599292,5072,1596734305032928962,base_link,967,987,1171,-1,594,1261,1651,931,900,895
1596734305074373979,5073,1596734305073928962,base_link,967,1038,1150,3825,594,1282,1568,945,904,933
1596734305116379761,5074,1596734305117928962,base_link,956,1018,1129,-1,594,1271,1640,930,889,908
1596734305157223238,5075,1596734305158928962,base_link,978,1028,1037,-1,594,1261,1568,945,905,905
1596734305197957227,5076,1596734305198928962,base_link,947,987,1171,-1,594,1261,1568,884,904,904
1596734305242651235,5077,1596734305240928962,base_link,957,976,1057,3672,594,1271,1661,900,901,905
1596734305281912656,5078,1596734305284928962,base_link,967,1028,1254,-1,594,1260,1650,941,900,889
1596734305325966929,5079,1596734305325928962,base_link,957,1038,1119,-1,605,1261,1651,921,900,828
1596734305363979613,5080,1596734305367928962,base_link,957,976,1119,-1,594,1405,1640,931,900,895
1596734305407535033,5081,1596734305408928962,base_link,947,1018,1160,3589,594,1282,1568,884,904,924
1596734305449593734,5082,1596734305449928962,base_link,946,986,1026,-1,594,1271,1629,936,904,893
1596734305488460929,5083,1596734305490928962,base_link,988,988,1119,-1,594,1282,1589,890,900,890
1596734305528824678,5084,1596734305532928962,base_link,988,1038,1140,-1,595,1282,1651,921,900,879
1596734305572627461,5085,1596734305573928962,base_link,957,1018,1171,3672,594,1271,1568,911,900,843
1596734305615928312,5086,1596734305615928962,base_link,947,997,1088,-1,594,1260,1650,910,889,926
1596734305653894273,5087,1596734305656928962,base_link,947,966,1201,-1,594,1261,1568,921,905,894
1596734305693215117,5088,1596734305696928962,base_link,946,976,1118,-1,617,1261,1654,935,913,913
1596734305751864942,5089,1596734305737928962,base_link,946,1007,1068,3867,605,1271,1630,921,905,914
1596734305778135393,5090,1596734305781928962,base_link,987,987,1035,-1,593,1260,2174,945,914,831
1596734305820404882,5091,1596734305822928962,base_link,978,987,1068,-1,594,1261,1640,921,900,879
1596734305862222570,5092,1596734305864928962,base_link,978,1018,1140,-1,605,1271,1651,936,915,904
1596734305904871035,5093,1596734305905928962,base_link,967,1007,1160,3404,605,1261,1589,911,900,879
1596734305943441789,5094,1596734305945928962,base_link,957,997,1325,-1,604,1260,1650,930,900,889
1596734305986347853,5095,1596734305987928962,base_link,947,1048,1304,-1,605,1303,1640,931,900,894
1596734306038288493,5096,1596734306028928962,base_link,976,1036,1086,-1,627,1291,1653,933,912,860
1596734306068103386,5097,1596734306070928962,base_link,988,1018,1253,3373,615,1282,1640,859,889,905
1596734306108078889,5098,1596734306111928962,base_link,964,1008,997,3903,615,1313,1651,921,900,921
1596734306148340410,5099,1596734306151928962,base_link,967,976,996,-1,605,1261,1589,900,890,869
1596734306190353123,5100,1596734306191047945,base_link,957,997,1037,-1,615,1261,1651,931,890,890
1596734306230847599,5101,1596734306231047945,base_link,978,1028,1129,3949,605,1271,1589,931,905,894
1596734306276738777,5102,1596734306272047945,base_link,967,976,1243,-1,604,1260,1578,920,889,837
1596734306312136605,5103,1596734306312047945,base_link,967,997,1181,-1,605,1282,1651,931,900,889
1596734306353205146,5104,1596734306353047945,base_link,947,997,1140,-1,594,1251,1568,936,904,904
1596734306393106531,5105,1596734306393047945,base_link,947,1038,1119,3949,594,1271,1630,935,914,882
1596734306434725163,5106,1596734306434047945,base_link,978,987,1098,-1,583,1281,1660,920,900,895
1596734306481134279,5107,1596734306474047945,base_link,967,997,1253,867,605,1261,1579,911,890,869
1596734306514613165,5108,1596734306515047945,base_link,957,997,997,-1,605,1271,2186,905,905,905
1596734306557352655,5109,1596734306555047945,base_link,967,987,1098,4124,605,1261,1579,921,900,909
1596734306595909170,5110,1596734306596047945,base_link,957,976,1037,-1,624,1281,1681,889,890,890
1596734306636853207,5111,1596734306637047945,base_link,957,987,1047,-1,605,1271,1651,921,890,890
1596734306677475538,5112,1596734306679047945,base_link,947,1038,1315,-1,605,1261,2546,911,890,854
1596734306718008938,5113,1596734306719047945,base_link,957,987,1037,3754,625,1282,1661,946,904,873
1596734306758260948,5114,1596734306761047945,base_link,956,996,1180,-1,542,1271,2288,926,904,883
1596734306799956307,5115,1596734306803047945,base_link,947,1007,1088,-1,625,1271,2556,931,900,848
1596734306843405304,5116,1596734306843047945,base_link,945,1026,1005,-1,607,1271,2258,915,904,904
1596734306885335861,5117,1596734306885047945,base_link,957,987,1109,3435,615,1271,2546,921,890,890
1596734306925610623,5118,1596734306926047945,base_link,954,1121,956,-1,605,1302,2536,932,900,909
1596734306967524354,5119,1596734306967047945,base_link,937,987,1171,-1,615,1271,1579,926,904,904
1596734307006877488,5120,1596734307007047945,base_link,966,1016,1056,-1,617,1459,2487,934,902,902
1596734307048313263,5121,1596734307048047945,base_link,947,966,1222,3970,615,1292,1599,926,894,913
