%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1595794429204578696,10026,1595794428459863058,base_link,987,1018,1232,2774,594,1281,1238,952,1885,878
1595794429210168520,10027,1595794428502863058,base_link,978,1028,1109,2589,594,1415,1238,921,1885,989
1595794429220702891,10028,1595794428544863058,base_link,997,1018,1222,2579,594,1425,1259,972,1885,930
1595794429220834977,10029,1595794428584863058,base_link,977,1028,1119,2785,594,1415,1249,1002,1885,878
1595794429220891460,10030,1595794428625863058,base_link,977,1038,1129,2579,604,1435,1259,962,1885,909
1595794429221166750,10031,1595794428666863058,base_link,987,1018,1222,2579,594,1425,1249,952,1885,930
1595794429221269342,10032,1595794428706863058,base_link,977,978,1706,2569,594,1415,1249,931,1885,956
1595794429221354080,10033,1595794428747863058,base_link,998,1007,1007,2579,594,1425,1249,941,1885,950
1595794429221426849,10034,1595794428788863058,base_link,976,1048,1139,2569,594,1415,1238,926,1109,954
1595794429221555082,10035,1595794428829863058,base_link,977,997,1109,2579,594,1425,1238,994,1885,950
1595794429221785641,10036,1595794428869863058,base_link,987,1079,1160,2774,583,1415,1238,880,1798,955
1595794429222016140,10037,1595794428910863058,base_link,966,996,1263,2579,594,1271,1239,951,1874,950
1595794429222369330,10038,1595794428950863058,base_link,977,1028,1109,2599,604,1271,1249,952,1885,889
1595794429222645582,10039,1595794428990863058,base_link,987,1038,1129,2569,594,1415,1238,1017,1889,903
1595794429224398388,10040,1595794429030863058,base_link,985,1015,1141,2580,595,1426,1251,922,1887,941
1595794429224656835,10041,1595794429071863058,base_link,976,1037,1160,2579,594,1425,1238,956,1048,935
1595794429225270392,10042,1595794429112863058,base_link,987,1038,1201,2599,594,1425,1269,952,991,899
1595794429227189391,10043,1595794429153863058,base_link,967,1028,1345,2569,594,1425,1249,941,1053,878
1595794429241409636,10044,1595794429193863058,base_link,977,1131,1160,2579,594,1271,1238,931,1875,939
1595794429242551887,10045,1595794429234863058,base_link,976,1006,1098,2784,583,1291,1269,1011,1884,887
1595794429272359711,10046,1595794429274863058,base_link,967,1038,1243,2569,594,1271,1249,972,1104,919
1595794429312920392,10047,1595794429316863058,base_link,987,1007,1345,2569,594,1415,1239,972,1875,930
1595794429353604654,10048,1595794429357863058,base_link,974,1004,1120,2591,605,1437,1251,974,1054,921
1595794429393134172,10049,1595794429398863058,base_link,975,1077,1070,2567,606,1427,1251,994,1096,942
1595794429435872096,10050,1595794429440863058,base_link,976,1037,1149,2591,594,1415,1238,1007,1008,955
1595794429477648636,10051,1595794429481863058,base_link,987,1017,1036,2569,594,1281,1249,1018,1900,893
1595794429519354289,10052,1595794429522863058,base_link,977,1028,1150,2569,594,1415,1249,900,1042,916
1595794429560910333,10053,1595794429562863058,base_link,998,1110,1110,2774,604,1260,1238,962,1106,895
1595794429603715972,10054,1595794429604863058,base_link,975,1026,1192,2588,606,1417,1251,965,1887,911
1595794429645780114,10055,1595794429644863058,base_link,967,1018,1171,2579,594,1415,1238,972,1063,858
1595794429684630395,10056,1595794429687863058,base_link,966,1017,1170,2774,594,1415,1238,967,1890,904
1595794429725049329,10057,1595794429727863058,base_link,987,1028,1119,2569,594,1291,1249,1013,1741,919
1595794429764297845,10058,1595794429767863058,base_link,977,1069,1232,2589,594,1415,1249,921,1885,878
1595794429804246570,10059,1595794429807863058,base_link,987,1018,1129,2569,594,1425,1259,983,1885,868
1595794429846101090,10060,1595794429848863058,base_link,977,1007,1263,2569,604,1425,1249,952,1885,951
1595794429884604314,10061,1595794429889863058,base_link,975,1005,1316,2567,606,1427,1252,1004,1887,952
1595794429928579165,10062,1595794429929863058,base_link,976,1057,1107,2567,592,1414,1258,940,1884,888
1595794429966629058,10063,1595794429970863058,base_link,976,1006,1108,2588,583,1414,1258,919,1874,877
1595794430006962389,10064,1595794430010863058,base_link,998,1028,1160,2579,604,1260,1249,1024,1885,899
1595794430046945668,10065,1595794430051863058,base_link,987,1028,1129,2558,594,1302,1249,962,1885,950
1595794430087888250,10066,1595794430091863058,base_link,967,1028,1243,2579,604,1415,1240,941,1114,909
1595794430127926469,10067,1595794430131863058,base_link,998,1100,1335,2579,594,1281,1260,921,1885,939
1595794430167313115,10068,1595794430171863058,base_link,1027,1037,1077,2577,592,1290,1238,982,1874,887
1595794430207789510,10069,1595794430212863058,base_link,966,996,1170,2589,594,1415,1238,978,1900,965
1595794430247446031,10070,1595794430252863058,base_link,965,1026,1162,2588,606,1427,1262,1037,1887,921
1595794430289300792,10071,1595794430292863058,base_link,977,1038,996,2589,594,1415,1239,911,1885,910
1595794430330724290,10072,1595794430334863058,base_link,976,1026,1140,2567,592,1414,1238,991,1884,949
1595794430371901836,10073,1595794430375863058,base_link,976,1027,1098,2774,594,1415,1249,956,1900,904
1595794430415130113,10074,1595794430416863058,base_link,977,1048,1161,2589,594,1415,1249,890,1885,884
1595794430454079707,10075,1595794430457863058,base_link,998,1120,1171,2795,594,1426,1249,1013,1875,950
1595794430497306882,10076,1595794430497863058,base_link,987,1028,1047,2579,583,1425,1238,931,1002,956
1595794430575931425,10077,1595794430538863058,base_link,987,1017,1067,2578,607,1415,1253,945,1889,944
1595794430583261449,10078,1595794430578863058,base_link,974,1039,1315,2580,605,1426,1261,993,1886,930
1595794430615172602,10079,1595794430618863058,base_link,987,1038,1191,2795,604,1415,1249,890,1885,858
1595794430656294444,10080,1595794430660863058,base_link,976,1037,1108,2578,594,1415,1238,1007,1057,904
1595794430702034475,10081,1595794430701863058,base_link,967,1069,1037,2774,594,1271,1238,992,1875,936
1595794430740756205,10082,1595794430744863058,base_link,977,1007,1428,2785,583,1426,1239,900,1875,965
