%time,seq,stamp,frame_id,sonar0,sonar1,sonar2,sonar3,sonar4,sonar5,sonar6,sonar7,sonar8,sonar9
1.57989955280562E+018,5190,1.57989955265909E+018,base_link,696,716,1800,924,-1,820,737,727,818,664
1.57989955280577E+018,5191,1.57989955270109E+018,base_link,699,760,1509,1015,-1,2558,727,736,1700,673
1.57989955280592E+018,5192,1.57989955274109E+018,base_link,710,739,1819,3300,-1,2558,726,760,1696,699
1.57989955280603E+018,5193,1.57989955278309E+018,base_link,710,771,1150,2806,4032,2568,726,742,1706,699
1.57989955284021E+018,5194,1.57989955282609E+018,base_link,710,832,1778,985,2249,2577,726,735,1690,690
1.57989955286601E+018,5195,1.57989955286609E+018,base_link,699,780,985,933,2249,2556,726,755,878,662
1.57989955290756E+018,5196,1.57989955290609E+018,base_link,696,740,1099,996,-1,2568,738,738,1690,725
1.57989955294545E+018,5197,1.57989955294609E+018,base_link,679,718,1016,902,1151,788,740,709,882,667
1.57989955298921E+018,5198,1.57989955298609E+018,base_link,710,729,1026,2806,-1,2588,727,745,1711,663
1.5798995530326E+018,5199,1.57989955302809E+018,base_link,710,718,1057,3929,4701,2568,736,755,1701,673
1.57989955306635E+018,5200,1.57989955306909E+018,base_link,699,729,1088,3279,2249,2577,727,742,1706,678
1.57989955310912E+018,5201,1.57989955310909E+018,base_link,696,750,935,954,2280,2577,736,737,878,663
1.57989955315031E+018,5202,1.5798995531482E+018,base_link,689,739,1005,1015,-1,2556,725,742,893,678
1.57989955318998E+018,5203,1.5798995531892E+018,base_link,689,749,1036,3320,-1,2557,726,742,1716,688
1.57989955323797E+018,5204,1.5798995532302E+018,base_link,699,728,1830,3289,-1,2570,740,758,1715,707
1.57989955327412E+018,5205,1.5798995532732E+018,base_link,699,718,1777,-1,3672,2567,726,750,873,699
1.57989955331392E+018,5206,1.5798995533152E+018,base_link,679,749,1808,-1,-1,2558,726,727,868,708
1.57989955336063E+018,5207,1.5798995533562E+018,base_link,710,862,1819,5967,5969,2560,737,747,1692,664
1.57989955339924E+018,5208,1.5798995533992E+018,base_link,699,749,1787,3580,-1,2578,727,747,868,683
1.57989955344003E+018,5209,1.5798995534392E+018,base_link,688,728,997,3279,3857,2570,740,747,1693,676
1.57989955348125E+018,5210,1.5798995534802E+018,base_link,699,739,1098,3290,-1,2577,725,736,1700,662
