%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1595768231273791077,17285,1595768230463875999,base_link,390,390,459,356,1044,663,734,568,424,373
1595768231275225929,17286,1595768230503875999,base_link,391,391,470,367,1055,653,724,585,441,380
1595768231276052393,17287,1595768230546875999,base_link,388,391,471,369,1056,664,776,487,416,375
1595768231278412847,17288,1595768230588875999,base_link,391,391,470,367,1055,663,744,559,425,364
1595768231280888473,17289,1595768230630875999,base_link,391,391,460,368,1045,664,744,549,435,391
1595768231282673665,17290,1595768230671875999,base_link,391,391,470,367,1055,653,724,585,451,389
1595768231283649559,17291,1595768230713875999,base_link,388,402,471,369,1056,664,745,559,426,375
1595768231285529168,17292,1595768230753875999,base_link,391,391,460,368,1066,653,755,569,435,365
1595768231289508636,17293,1595768230793875999,base_link,392,392,460,357,1044,653,724,585,451,389
1595768231289864880,17294,1595768230834875999,base_link,391,391,481,368,1066,653,744,559,425,375
1595768231290108158,17295,1595768230875875999,base_link,391,391,471,368,1066,664,744,569,527,375
1595768231290313383,17296,1595768230916283096,base_link,390,378,470,367,1058,635,758,583,428,388
1595768231290817791,17297,1595768230956283096,base_link,391,391,460,367,1055,612,734,585,441,380
1595768231291115048,17298,1595768230997283096,base_link,391,391,471,368,1045,653,775,550,415,365
1595768231297625679,17299,1595768231039283096,base_link,391,380,471,367,1044,602,734,585,430,380
1595768231297856640,17300,1595768231080283096,base_link,390,391,470,367,1044,601,734,568,424,373
1595768231298166984,17301,1595768231120283096,base_link,389,389,472,367,1068,635,747,582,428,378
1595768231298603389,17302,1595768231160283096,base_link,401,390,471,368,1055,612,755,569,415,365
1595768231301350274,17303,1595768231201283096,base_link,391,391,460,357,1065,612,744,585,441,379
1595768231301618829,17304,1595768231241283096,base_link,388,391,482,369,1056,633,745,570,528,375
1595768231305517309,17305,1595768231281283096,base_link,388,391,482,369,1046,602,745,570,447,375
1595768231321682806,17306,1595768231321283096,base_link,391,391,460,367,1044,602,744,585,451,389
1595768231364149738,17307,1595768231363283096,base_link,391,391,471,367,1055,602,744,564,522,389
1595768231403725457,17308,1595768231404283096,base_link,389,389,482,356,1057,614,747,572,428,377
1595768231444846627,17309,1595768231444283096,base_link,391,391,470,357,1044,602,734,575,441,379
1595768231489890977,17310,1595768231485283096,base_link,391,391,471,368,1055,612,775,549,425,375
1595768231525489852,17311,1595768231525283096,base_link,391,391,471,358,1045,602,734,569,425,380
1595768231569429140,17312,1595768231566283096,base_link,377,392,471,369,1056,633,766,570,528,375
1595768231607725135,17313,1595768231607283096,base_link,388,402,471,369,1056,613,745,550,426,375
1595768231649353215,17314,1595768231649283096,base_link,388,402,471,369,1056,613,745,570,426,375
1595768231693555844,17315,1595768231690283096,base_link,391,391,471,358,1045,602,734,569,435,391
1595768231734481658,17316,1595768231730283096,base_link,390,391,460,367,1044,622,734,568,435,373
1595768231771127881,17317,1595768231770283096,base_link,391,391,471,358,1045,602,734,550,415,364
1595768231808916708,17318,1595768231810283096,base_link,391,391,470,367,1044,601,734,559,435,364
1595768231852230192,17319,1595768231852283096,base_link,390,378,469,367,1058,615,758,583,439,379
1595768231892465826,17320,1595768231892283096,base_link,391,380,471,367,1055,602,744,564,430,380
1595768231933535289,17321,1595768231932283096,base_link,391,391,471,368,1045,602,744,569,425,391
